Timestamp,Participant ID  (given to you by the experimenters),Age,Gender,1. When a promise is broken… ,2. When both choices feel right… ,3. When things don't go as I hoped… ,4. When the hard work finally pays off… ,5. If I am asked to compromise… ,6. When I realized someone was paying attention… ,7. Saying goodbye to something that mattered… ,8. When what used to work no longer works…,9. When I have to choose what comes first…,10. When I realize I cannot control what happens next…,11. When a person feels they were treated unfairly by their supervisor... ,12. If a person feels pulled between their own view and the expectations of others...,"13. A person works very hard on something important, but it fails...",14. A team celebrates a project that succeeded. The person who led it ... ,"15. A person believes a decision their group supports is wrong, they will…     ",16. When a person sees someone make a sacrifice for others...,17. When a person has to leave a role or place that was important to them...,18. A person realizes their plans need to change significantly. This might affect their existing beliefs...,19. When person must choose between two opportunities that both seem meaningful... ,20. A person must make an important decision and take on a new responsibility without complete information... 
4/13/2026 2:12:23,p40,49,Female,trust does not return.,you are never wrong.,you need to learn to be flexible.,you need to celebrate it.,I expect the same in return.,I felt good.,it is hard but that's life!,means you need to learn why to fix it.,it is the seed of what will become.,I can relax!,it will be their worst nightmare.,it will be harder but more rewarding.,"then, it is time to learn, improve and try it again.","need to give them credit and celebrate with them as a peer, not as a leader.",need to say the reasons of the decision aloud with good arguments but accept they might be wrong!,should shout out it.,they need to let it go and never look back.,it will be a pivot point.,it will never be wrong,life is a path of new discoveries.
4/14/2026 11:44:44,p41,28,Male,I normally feel depressed,It makes me feel some difficulties,I maybe feel something goes wrong,I'm filled with joy and pleasure,I may feel some burden,"It makes me a bit stressed, but also happy",to me,I'll try to find some fix,sometime it's hard to me,I'll persuade myself to do my best and let it go,normally disagree with them,it usually create some pressure,if the situation doesn't goes right,should go to say something,launching a debate and try to find the direction,maybe he will be encouraged to do the same ,they normally not that happy,on themselves,he or she has to make a difficult choice,is a challenging task for them
4/13/2026 6:55:26,p42,27,Female,the relationship ends,the things are going on the right way ,I will be despaired,we could be released and emotional,I will think about it carefully ,I would be more careful ,to me a lot ,we have to find another method,I will listen to my heart ,I will tell my self to let it go,they would be angry discretely ,they may want to remain calm contemplate it ,the person should certainly feel depressed ,should be proud,try to discuss it with the member of the group,they can feel grateful and respectul towards them  ,it should be difficult for them,"the person should feel faired, but they know that they should be on ",they may need some suggestions from others ,"they might have no choice, but just keep seeing what happens during the journey 
"
4/11/2026 11:06:14,p43,29,Male,Trust is hurt.,I ask for advice.,I seek why.,You need to enjoy it.,I'll pause and really think.,I try to be worthy.,is important.,cause for contemplation,I need to think,I remember to let go,Context is primord,either answers lie within that person,There is no failing without gaining something.,shouldn't make it about themselves.,hopefully communicate in a healthy way.,They should take note,it will still be a part of them,these moments are one of life's main interests,They should mind the big picture,They must articulate their decision around what they don't know
4/14/2026 9:14:56,p44,46,Male,"Worst thing ever, I hate it. Can be long, but do it. Dire c'est faire. ",No. Choose your path. ,"Adapt, adjust. Engine of creation. Oulipo style of thinking. Positive thing. ",I enjoy the moment. With a smile. ,I don't unless no other choice. Rarely the case. Prefers to break everything. ,The expectation. ,I don't. I avoid that situation. ,Well. Work and find a new way. ,Blank page. What do I want? ,I don't engage where I can't control professionally. ,Constant in the industry. Deal with it or change. ,Trajectories may cross or not. No big deal if we disagree or don't align. Doesn't change my view of others. ,Try again differently. Bypass the jury. ,has to congratulate everyone and is often forgotten. ,I don't understand this one. ,"Recognize empathically, suggest change. ",Next train is gonna be even more exciting. And you can always get back here if not. ,"Well, it's constant. So belief is get used to change. ",White page /pros and cons or do both. ,Life is a risk and an opportunity. Go. 
4/14/2026 12:29:05,p45,43,Female,I feel betrayed.,I use pros and cons list.,I pivot.,I'm happy.,it's OK.,it matters.,is hard but doable.,I change it.,I go with my gut.,I try to embrace it.,it is demotivating.,it depends on their background how they might react.,and this is normal - we cannot control all factors.,gives a speech.,rebel.,they should help if they can.,they can turn to something new.,making flexibility important in such situations.,they should choose according to their values.,and just do the best they can with the information they have.
4/13/2026 4:05:43,p46,21,Female,",trust is broken",I make them both. ,I try to fine good anyway. ,I reward myself,I thing about my gain,I thank him/her,takes time.,I find a new path,I follow my heart,I enjoy the ride,they feel humiliated ,they are lost,they may be deceptive,feels proud,try to convince everyone. ,he does the same,they are wise ,and need a good amount of resilience,the person should follow his heart ,the person should trust his brain
4/14/2026 10:46:52,p48,23,Female,I really don’t like it and think this person is not trustworthy anymore,I choose the most logical one ,I am really disappointed but try to find another plan,I am pretty happy but it’s never as fulfilling as I would first expect it. But it’s great.-,I understand and I try to do my best to do it.,I appreciate.,It’s a bit sad but it doesn’t matter anymore.,I’m frustrated and will do all my best to make it work again.,I feel satisfied.,I’m a bit sad,They might get upset and work less efficiently,They might end up taking the others point of view due to pressure,They might be really sad and feel like everything they do fails,May be really proud and grateful,Gather arguments and convince them to make another decision,They may ask them if they do it consciously ,They may be sad but see the other opportunities and see when to come back,They may not be able to change their plans,They may choose the one that their heart drives them towards,This might be really stressful and might lead to not proper decision.
4/15/2026 12:21:24,p49,23,Male,"I try to understand why this person broke the promise, if the reason isn't satisfying enough, I will lose trust in this person.",I pick the first one that seemed right.,I find a better alternative.,I am glad,I will try my best without betraying myself,I am satisfied and looking forward to meeting this person.,I will replace it with something more evolved,"I am frustrated, I will look a bit for the cause but I will simply use something else",I will weight the pros and cons and do my ranking.,I will be anxious but I will have a second option in case something goes wrong.,They will say nothing unfortunately.,They will comply to the expectations of others.,"They will be demotivated, sad and question their life.",will be proud of him and the teammates,remain silent but will unlikely work their best after,They will be touched.,They will have trouble to adapt and be sad.,They might prefer to do nothing.,They will pick one randomly,They will be scared and anxious but no other choice to adapt quickly
4/17/2026 10:53:53,p50,40,Male,I lower my expectations and trust that this individual can keep promises.,I look for more information or ways to measure.,I think that's just how life goes.,it feels satisfying.,I weigh the facts and expected value of the compromise versus the original plan.,to what?,is the best option one has given that it used to matter.,change what you are doing to get different results.,I simulate all reasonable orderings.,I know that's because we cannot control anything.,they should tell their supervisor.,they should try to understand why they feel pulled and acknowledge that the expectations of others are often projections of their own insecurities.,they fail.,is also celebrating with the team.,bring down the entire group unless they talk about it with the group.,they will either think it is nice or think it is normal to take advantage of this someone.,it can lead to feeling lost for a bit.,or it might be the actionable result of their existing beliefs since beliefs alone get nothing done.,they should just make a Pugh chart and do the due diligence to make up their minds.,so they make an estimate of expected positive or negative expected value and commit.
4/13/2026 10:08:38,p51,60,Female,There's no turning back now.,It's very difficult to choose the right one.," I usually feel a certain disappointment, although I try to get over it quickly.",I feel immense satisfaction,I'll accept if the person asking me is worth it.,It was when I started taking it seriously.,it's a very hard experience,I think it's the law of life. Eternity doesn't exist,I prioritize what I like the least.,"I feel like I have to go with the flow, without interfering",sometimes there's no choice but to hold on and be strong to move on,It means that maybe they're not very clear-headed about that particular subject,"At first, they'll think they've failed in the attempt, but they should immediately try to analyze why they failed and try again having learned from their mistakes",celebrates it as if it were another team member and feels very proud of them.,"has to help them understand they are wrong and find solid, convincing arguments to change their minds",her heart breaks,"
she feels it like a grief, like a loss",life gives you surprises,"If she doesn't have any other factors to help her decide, she can flip a coin.","
Let's just say this person is a bit ambitious and irresponsible. I wouldn't want them as my boss."
4/13/2026 0:58:48,p52,60,Male,Trust disappears,I choose the cheapest,I start again,I feei extremely happy,I often offer my commitment,I focus on that someone,Is something you have to learn,You have to look for a new way of doing things,I start for the hardest thing,I wait and see,They have to report it,He has to explain his own view more thoroughly,He has to start again,Has to celebrate too,Try to convince him that the decision IS not wrong,He has to highlight it,He has to look forward,But he has to change plans anyway,He has to search for a new reason to choose,He has to look for the complete information
4/13/2026 8:48:47,p53,40,Female,I feel angry,much better,I feel dissapointed ,I feel fulfilled,it scares,I feel satisfied,I feel relieved,i am disappointed,hesitant,I feel nervous,he may feel frustrated,he may feel stressed,he is frustrated,will feel euphoric,experience discomfort,he feels grateful,he has mixed feelings,leading to doubts.,they may feel stressful,he feels insecure
4/13/2026 16:18:51,p54,24,Male,I feel sad,I want to maximize my reward,I try to make them better,feels the most rewarding,I expect the other side to do the same,I feel like I need to do better,hurts,I feel very frustrated,I need to evaluate all possible plans of action,I need to prepare for the worst outcome,"They should feel like they can raise their concerns, either to that supervisor or a persone above them","they should try to accomodate everyone to the extent possible, without sacrificing their own well being","it is time to reflect and learn from mistakes, or outcomes",deserves recognition for the hard work,try to prove the other people wrong with data or facts,they should uphold themselves to the same standard,they need time to reflect and adapt,"and change them accordingly, this might take some time, as changes don't happen immediately","they should follow their gut, and whatever feels right",you should commit to whatever feels the best with whatever information is available
4/14/2026 6:50:25,p55,29,Male,trust is lost,it's difficult to decide,you have to keep trying and not give up,it's so fulfilling,I think what is best for everyone,I smile,it's difficult,it means that times has changed,I think about it deeply and long,I don't worry about it,should speak out about it,it means that this person needs more self-confidence,the effort will pay off at some point,Is responsible for success of the team,communicate to the group their point of view ,they like that person,they must have been a difficult decision to take but it could be for the best,and start again,they must think deeply about it and make a  list of pros and cons,they will feel it's a risky situation
4/16/2026 5:08:51,p57,35,Female,I feel hurt.,I pursue both.,I often blame myself.,it's time to celebrate!,it is not ideal.,I am relieved.,hurts.,it's frustrating.,it's not often easy.,I try to breathe.,they should communicate about it/,it can cause and existential crisis.,so they have to find a way to justify that effort.,is congratulated.,try to talk to the group.,they are curious to know why.,it can be sad.,permanently.,they should lead with their heart.,so something is left to chance.
4/15/2026 8:19:31,p58,37,Male,trust is difficult to rebuild.,trust your gut.,I stop hoping and start accepting.,it is time for a well deserved break or celebration.,I do not hesitate. I want to make sure everyone is happy.,I try to repay the favor by giving them the attention they earned.,is very difficult and sometimes heart-wrenching. Try to go through the 7 stages of grief.,it's time to find out what works now.,I use intuition or my gut.,I let go and let chaos take over. Entropy is the law of the universe.,"they will complain hopefully on ears that are not deaf, armed with hands that can make a real change.",it is imperative to draw the line and find a solution.,I'll say try again and fail better.,ought to celebrate twice.,"usually act in accordance to their beliefs, and either protest or leave the group.",will either treat him as brave or foolish. Self-sacrifice is rare these days.,will probably have to go through the 7 stages of grief.,"and this is generally a good thing, accepting change, as change is the only constant in the universe.",they should ask their spouse for advice. The spouse will know how to choose.,should probably try to find as much information as possible. Intuition is only richer with information.
4/16/2026 13:16:40,p59,25,Female,Truth is too,Chose the one you feel better about,Just think of what could go great,You feel a sense of gratitude,It would be hard,I would be intrigued,Is heartbreaking ,We have to find new ways,Choose logically and with the heart,Just trust the process ,They might rebel,Decisions would be hard to take ,It is really hard to bounce back after that,Can be proud of them and the team,Withdraw from the project ,They will have more esteem for that person,They will feel nostalgic,To a certain point,They might choose the one their heart feels best about ,They might hesitate more and work more to make the right choices
4/16/2026 3:42:07,p61,23,Male,"I feel betrayed, but it’s not a big deal.","It means either something is off, or they’re actually the right answers.","It’s okay, we’ll do it differently next time.",It’s exciting it’s really the kind of thing that makes you enjoy it to the fullest.,I’ll keep quiet and do it.,"It depends on the person if it’s people I love, it can make me feel refreshed; otherwise, I don’t feel anything.",is hard,"It’s okay, I’ll find something else.","It depends on the situation, but I’ll choose the option that seems the most logical and the simplest to do.",It’s frustrating.,"It’s frustrating and annoying, but well, you can choose what you want to do afterward, so it’s fine.","I’m not really sure how I feel about this, maybe it’s some kind of self-exploration.","They need to pick themselves up and try again, don't lose hope ",good,He would leave if it’s something he really can’t stand.,yeah cool for him ,it s hard,its good your growing,Pick the one you enjoy the most and don’t look back.,"It’s normal  we’re neither omniscient nor omnipotent, so just do what really matters. What counts is your ability to adapt based on the new information you’ll get in the future."
4/16/2026 6:51:37,p63,40,Male,trust is broken.,go with your heart,I hope as it goes,get back to work,i wont,i stop,such is life...,get a bigger hammer,go with your heart,let what next happen,they're in the wrong job if their supervisor is called a supervisor,find a third way and help both of you grow,normal,buys everyone pizza,slink away in the shadows,tears up with a sort of nostaligic beauty joy sort of happiness that doesn't really have a word for sorrow happy goodness beauty of humanity,iraq,about the importance of the prior plans,which pays better ;D?,do your best
4/19/2026 7:08:48,p64,34,Male,trust is broken.,try to manage a way to do the two.,", i try again. ",", celebrate ! ",do it in a clever way. ,focus on this person.,"is a one way, and final process. Accept it, and move forward. ",", find a way to make it work, it's probably just temporary. ","pick the think i least enjoy, then finish by the enjoyable thing.",", accept it with joy",it must be true. ,", it's their problem to manage that. ",give guidance and say what i would have done differently. Encourage.,must acknowledge others. ,fight.,"be thankful, and be certain that it's an ok accessment. ",it's their choice. ,", and it's life. ",pick the one that bring more joy. ,act like you know.
4/24/2026 10:58:15,p65,23,Male,it cannot be made again,maybe there is catch,maybe i was delusional,It's time to take a break and focus on what really matters to you,i need to re evaluate my expectations ,"sometimes I feel embarassed sometimes not, i think i would be likely to propose him or her to join us",is heartrending,It might say that it's time has come,I think about my family,anyway it's going to work out fine,they shut themselves off,it think it should choose what matter to them,"it happens, it's part of life",can feel pride,accept it and maybe later learn if he was wright or wrong and if it even matters,he feels empathy,he comes out of it a better person,on what are the good way to do things,she would necessarly made a good choice,", it's part of life"
4/24/2026 12:29:50,p68,53,Male,trust is shaken,choose both,make the most out of it,celebrate your success,pick a good compromise,it reassured me,is bitter,there's a sense of betrayal,it's good to take a bit to think it through,it's OK to surrender,it is important to bring it up with them,it's important to reflect critically on one's view but pursue it if it still feels right, - learn from the mistake,should share the moment with the team,"bring it up, ideally",that gives a sense of gratitude,it is a sad moment,but it's important to be flexible,try to combine both,so they should stop and think and ask for further time
4/19/2026 10:46:32,p69,26,Male,I feel angry and disappointed,I try to choose the best one,I analyze why,One of the best feelings,I try to be fair,I become more focused,sometimes is very hard,I try to addapt ,It's so important to organice priorities and sometimes I don't do it as well as it could be done,sometimes I feel even more relaxed because I can't do anything else,"I don't tolerate injustice so I would do something, if I have to stay quiet I will be so annoyed ","It's important to have your own personality, but also to listen to other people","if I have done your best, it's though but I should feel proud of myself","Should distribute the ""good"" responsability (be fair with the team)",try to consider all the points of view,I feel glad and fell that humanity is still alive,sometimes it's hard to say goodbye but is shows maturity,"sometimes, our existing beliefs are ""hardcoded"" in our brain and it's extremely hard to change them because they define how we understand everything",after a very detailed analysis you have to accept that there is a part of information hide and just by taking the decision you will be able to see it,"it's very common in life, sometimes you discover part of the information walking the way so be relaxed about that"
4/25/2026 23:43:23,p71,27,Male,I'd be frustrated,I'd hesitate,I'd analyse what happened to me,I'd be happy,I'd try my best to make a better choice,I'd be nervous but at the same time happy,is always painful,I'd be curious,I always hesitate,I'd be exciting but at the same time nervous ,they might be angry,they might feel frustration,they might feel frustration,deserves the reward,try their best to better align the future direction of the group,they would be very touched,they'd be very sad,on what they believed to be true,they must hesitate on their decision,forcing them to trust their own judgment
4/26/2026 12:19:04,p73,25,Female,we think about why it is so,we go ask for others' opinions,I think about what went wrong,we celebrate,I think about why,I give them credit,is always difficult,we grieve,I think about the implications of the options,I get stressed out,is there anything we can do about it?,they take a step back and ask their mentor for their perspective,because sometimes' everything's just luck,should feel proud of their team,bring the thought up before it's too late,they should appreciate them,they need some time to get back up,but is still worth it,"it's hard, but they need to think about what would be even just a bit more helpful in the long run ",we now have AIs to seek for information and hopefully mentors to ask for guidance 
4/24/2026 8:03:52,p74,32,Female,I take a rest at home.,I choose the better one.,I find the cause.,"Finally, it’s over.",I go along with it.,I feel a little uncomfortable.,It feels difficult and painful.,I look for another option.,I consider how much time each task will take.,I accept it and try to move on.,"They feel wronged, but do not take any action.",They try to meet expectations.,They discuss it to find the reason.,feels relieved.,honestly say what they think.,They feel thankful.,They do something memorable.,They think about it again.,They choose the more meaningful one.,They do their best.
4/24/2026 23:36:23,p75,28,Female,I don't feel stressed,I take either one,I look back on what I did wrong ,it has to be celebrated,I think deep on my potential choices,I was surprised,was hard,it probably is magic,I will choose without hesitation,I enjoy the freedom of not knowing,they should raise an objection,they can try to find a way that lies in between,it's disappointing but hard work does not always guarantee success,organized the celebration party,probably leave the group,it somehow affects them and helps them make a sacrifice too. ,they will try to take a souvenir with them so that they can remember the role/place,that no plans are perfect,the decision might take a long time to be made,they will feel incredibly stressed 
4/23/2026 16:33:30,p77,44,Male,a lesson is learned: this is someone you cannot trust. It is information for future encounters and the premise of a decision to continue the relationship. The trust has been damaged for sure.,means you have not been thinking enough or it doesn't matter to you,"It happens, time to reassess the premises or the execution","it is very satisfying but also a bit depressing, you need to find a new goal","I wonder if the compromise is counter to my values or if I'm being wrong. It is very situation specific, it could be a real signal that I'm being unreasonable",this is gratifying,is difficult but part of life,"is the cycle of life. Things are getting interesting and challenging, you need to find new ways, better ways",Priorisation is the duty of adults. Tough choices are defining what matters to us and ultimately who we are,It happens and I should focus on what I can control. Usually not getting again in a situation that I don't control again !,I try to understand if this claim has merit and what could have been the perspective of the supervisor. It is very difficult to make a judgment from a one-sided story.,I try to stay away from choosing but I make them question how strong they believe on their own view and why do they beleive that the others are wrong. You want to get to an answer that is either ego or knowledge,"It happens, most people fail. I go back to ""i didn't fail, I just found of the 10,000 ways that doesn't work""","Should make sure that everybody on the team is satisfied with the outcome, be very happy and make sure to share the joy with everybody","Try to understand why the others are supporting this decision, is there something he is missing and engage with the group to understand the gap in judgement. It is important to be at peace with the decision and no hold any grudge. Sometimes, you disagree with the decision but you acknowledge it is not as important in the grand scheme of things","It could be either stupidity or a beautiful thing, sometimes both!","Again, this is part of being an adult, it depends what is the person moving towards. Is it for a better position or a worst position? What are the circumstances of that departure?","It is a good thing, they believed something, got confronted to reality and are adjusting, they are learning!","Tough choice, expend the scope of consequences to your entire life, construct some sort of measurement system to assess both options and take the highest rated one. Make sure to include all the aspects of your life and challenge the weighting of each ","You must understand you never have complete information; this should not be new. The fact that the decision is important is simply to justification to spend time analyzing the different possibilities and outcome, with a very pointed question: how what I don't know I don't know could affect this decision? and make assumptions, build scenarios, ..."
4/24/2026 10:16:09,p78,28,Male,I feel hurt if the person is very close to me and I keep some expectations on them,I get confused a bit and then will toss to pick the right choice,I just say this is not my day and see what I can change so I can fix them in future,I feel extremely happy and celebrate the moments,"depending on the situation, I will compromise sometimes",I become more conscious,"if it is a thing, I'd easily say goodbye. If it is people I take my own time to digest it",I am totally fine. I will try to adapt and find a replacement for that,I pick the best easily in the situation,I leave it and just move on,they will get disappointed and see if they can escalate it to the management or higher ups,they usually get suffered in between the situations,"depending on the mental state, they might move on and identify how to correct it and make it work",will be the happiest person,I am not quite sure what it means actually. I am confused on the scenario here,"they would either feel happy seeing that if that's an acceptable sacrifice, otherwise, they'd feel disappointed and try to educate them",while it is a tough thing to do but they would still do it with heavy heart and slowly move on,they would take months to digest in and gradually adapt,they get extremely confused and ask the loved ones to pick the best one for them,they get scared/feared of it. they seek help from friends or closed ones and then they jump in if it is something they can't avoid
4/26/2026 8:59:29,p79,36,Male,I feel betrayed,I choose the one which feels personal to me. Something meaningful and fulfilling,I adapt to the situation and change paths. I know there is no one straight path to doing anything,I get a sense of satisfaction,"I will weigh the prons and cons of the compromise, I try to find a middle ground",I felt needed,is really hard to let go,I change trajectory,"I focus on what moves me closer to my goals, not just what demands my attention",I don’t sweat it and move on,they may feel overwhelmed and their relationship deteriorates,they may have a conflict of view about what is right,"Take is as an experience, every failure is just a learning step",feels thankful towards all the team members who contributed to the project,raise their concerns about what might go wrong,They make sure to recognize and reward the person’s effort,"They gave their best and are content, knowing the outcome isn’t in their control.",so they stay open and adapt their thinking accordingly,They choose the one with the greatest impact,"So they step forward, take the challenge, and learn along the way."
4/24/2026 5:30:02,p82,22,Male,When a promise is broken.I stop trusting as easily. Simple as that.,When both choices feel right. I just pick one and stop second-guessing myself.,"When things don't go as I hoped, honestly, it stings for a while before I move on.",When the hard work finally pays off. I just think — finally. About time.,"If I am asked to compromise,depends who's asking and what they want from me.","When I realized someone was paying attention. I got a little self-conscious, not gonna lie.",Saying goodbye to something that mattered.Never gets easier no matter how many times you do it.,When what used to work no longer works. you just figure something else out. You have to.,When I have to choose what comes first. I go with my gut. Overthinking makes it worse.,When I realize I cannot control what happens next.I just let it go. Holding on does nothing.,When a person feels they were treated unfairly by their supervisor. they stay quiet but don't forget.,If a person feels pulled between their own view and the expectations of others.they lose sleep over it.,"
A person works very hard on something important, but it fails.they act fine. They're not fine.","A team celebrates a project that succeeded. The person who led it, already sees what went wrong.","A person believes a decision their group supports is wrong, they will, speak up once, then let it go.","When a person sees someone make a sacrifice for other, they feel respect and a little guilt.",When a person has to leave a role or place that was important to them… they leave pieces of themselves behind.,"A person realizes their plans need to change significantly. This might affect their existing beliefs,and that part hurts more than the change itself.","When a person must choose between two opportunities that both seem meaningful,they choose one and wonder about the other.","A person must make an important decision and take on a new responsibility without complete information, they take a breath and move anyway."
4/24/2026 1:17:15,p84,25,Male,what should I do?,I am confused about which one is better.,I will feel disappointed.,I would feel relieved.,How should I deal with it?,I would feel uncomfortable.,I always get teary-eyed.,I would become overwhelmed,I will choose the one with the least cost after making a mistake.,I will just let it go.,The best option might be to leave.,They will be more hesitant and timid when making decisions.,because of hesitantion.,will be pleased.,betray the group.,They will feel guilty.,They must have a more important thing to deal with.,about their future.,They would choose the one matter to them.,They need to be strong enough to succeed.
4/25/2026 14:28:33,p85,64,Male,I lose trust in the person,I find it hard to choose one,I push through,I like to tell someone,I consider the situation,I was not surprised,is always hard,I am disturbed,I'm sometimes at a loss,I'm not happy,they may lash out,they need to reconsider,is disappointed,is proud of the team,sometimes put up with it,they are grateful,it is hard,or might not,it is difficult,this can lead to paralysis
4/25/2026 3:02:04,p86,27,Male,tears are shed.,it's when my identity shines.,it's exactly what's exciting about the real world.,it's time to reap what you sowed.,nobody would know my response.,I will pay attention to how they pay attention.,it's the only way to move forward.,something changed. Find it!,love always wins.,I feel ecstasies for the agency of the others.,they should consult their friends and be open about their experience.,social-chemical reaction happens within that person.,It fails like a building going down to ashes. Like an old tree in flames.,opens a champaign.,call a meeting.,"tiny ripples of kindness will carry on through this person, like Kennedy said.",The role and the place will miss them too.,"This is a fine example of social role impacting a person's belief, or even attitude system. The democratic public sphere gives agency to the people, but we have not yet understood the causal factors in people's value systems. ",choose the one that leads to delicious food.,such is the definition of courage.
4/25/2026 4:30:25,p87,35,Female,I’m disappointed and angry,I choose what my heart really wants,"It’s God’s will, everything happens for a reason ",I’m beyond happy and super grateful for my God cause he helped me achieve this ,"Only if the that person is one of my close family members (mom, dad, siblings)","It means the world to me, especially in a time when phones have made real attention feel so rare",Aches the heart ,"That’s when you adapt, find a new way, and evolve","I pause, prioritize what truly matters, and trust my decision","I remind myself that not everything is in my hands, and that’s okay. What’s meant for me will always find its way","They should take action, don’t accept it. Try to change it, and if nothing improves, walk away and find a better environment","Stay true to yourself and your values, even when others’ expectations pull you in different directions","It’s never a failure, only a lesson to grow from",Should be recognized for their leadership while also acknowledging the team’s collective effort,They should voice their concerns respectfully and work with the group to find a better solution,They should acknowledge and appreciate the sacrifice,"It depends on the reason behind leaving, but often it’s a necessary step. Even if it’s difficult, it can open the door to new opportunities. Sometimes what feels like an ending is just a detour toward something better, so it’s important not to tie ourselves too strongly to one place or role","They should stay open-minded, reflect, and be willing to adapt their beliefs as they grow","There’s usually one you’re leaning toward, even slightly, so trust that instinct and follow it","They should gather as much information as possible, but be willing to make a thoughtful decision even without complete certainty "
4/25/2026 10:35:52,p88,30,Male,feel hurt and little betrayed,I feel like I might lose something or other,I doubt myself,I feel relieved a lot ,"I am fine with compromising, so I will compromise (whatever it is)",I feel like my privacy is invaded,It feels very tough to imagine,"Huh, I feel panicked and kinda get stuck. Not very sure on how to handle such situations easily","It depends, sometimes I pick the one that I like the most in such situations",I don't really care about such situations. I just live peacefully,Anyone will be super pissed off and frustrated,That's what happens mostly in many cases and they just live with it even though they hate ut,They can start doubting themselves. It may lead to mental diseases too,Proud and happy,They might feel very uncomfortable to stick to that group itself,I feel lot of people don't even notice such sacrifices,I believe it's a common sense that everyone knows nothing is permanent. So they should be ok,Very much unsettled and tured,Depends. Some people might feel overwhelmed. Some will actually be able to pick the best option,They might take each and every step carefully
4/26/2026 5:50:49,p89,22,Female,I feel betrayed,i am paralysed,sadness,gratitude,i am okay with that,makes me feel valuable,is hard,need to find a new way,priorities,"if its not in my power to control, then I should let go of the worries",anger mixed with sadness,it depends on a situation,"the person tries its best, sometimes other factors except the persons effort are involved in the results",should be celebrated,talk with each other about it,that's the bravest person in the group,"its sad, but its part of life, we cannot be stuck in one place forever",exploring what is unfamiliar to us is part of growing,talk with others about it to get different opinion,tough situation
4/28/2026 7:02:42,p66,27,Female,I loose trust.,I am happy.,I call a friend,I listent to music,I am happy to do so for the greater good of the group.,I feel understood.,feels like moss starting to grow on a decaying forest floor.,I dream about it.,I am glad that I get to choose.,I let myself be pushed by the waves.,I agree and try to show the other perspective.,I support their own view.,I believe they tried their best and that life is serendipitous.,feels the most joyful moment!,ask themselves if this is their group.,"if the person is truly willing to do so, I cry.",I wonder about the reasons why.,I hope they do a lot sport to deal with these changes.,I would sleep over it and go by feeling.,thhhis is life
4/29/2026 2:03:37,p90,28,Female,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why,I am wondering why
4/29/2026 12:12:36,p91,28,Female,my heart is broken and it takes years to gain the trust ,I would weigh the pros and cons of both entities and there has to be a better one among the two ,I wait and take a pause for a while and go back to the start and resume the work again.,It's a bigwin and moment to cherish also try to keep the consistency to even work harder,I would definitely if it makes situations better for two parties,I would be happy,I would simply accept the time and situations and welcome the new chapters ahead,I would cry and burst with emotions until I feel tired of it and slowly accept the new normal,I would take a shift and consider better alternative ,I give in and accept the reality,First I explain supervisor and then until I find your next opportunity and then get rid of the supervisor,Weigh the cost and then take a curve because its not always about your perspective,sun never stops to come and give sunlight just wait for your day,Also have to be celebrated and motivate him further,stand by the self belief and convey why the group's decision is wrong and how can it effect ,Appreciate if you can but also tell them if its worth,Leave it physically but take the good memories back with you ,NA,Again there's always an opportunity that has better growth than other,Life is full of suprises but you should never back off your responsibility and enjoy it rather
4/29/2026 12:20:16,p70,30,Female,I often lose trust,I feel more relieved to make a decision ,I am let down ,I feel relieved,I try to understand why ,I feel grateful ,unfortunately inherently happens in life ,it might be a natural process but it can be painful as well  ,I reflect on the priorities ,sometimes I feel more at ease or sometimes I try to control other factors ,they must feel very confused and disappointed,it is important to think back and focus on their own needs once again to ground themselves ,it is deeply disappointing but it is also a part of the process ,must feel very happy ,try to help the group sees it but it can be difficult,the fact that they can see it matters ,It is very important to make sure they won't think of it as losing something; the fact that it mattered a lot to them means a lot was gained.,which then can bring emotional difficulty on top of it ,It is important to think about what is more meaningful for them personally,"It is risk-taking and requires bravery, which is always respectable"
